Caption,Category
Protect our strays: vaccination camp at Bhaktapur this July 15th.,Vaccination
"Meet Simba, a lovable German Shepherd looking for a forever home in Dharan.",Adoption
Local butcher illegally killed a street dog. Action needed! #8094,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #7966,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #6759,Vaccination
Vaccination records faked during illegal puppy sales,Illegal Activities
"Rescued stray vaccinated last week, adoption requests open",Adoption
Cruel treatment of animals reported near Kathmandu. Raise your voice!,Illegal Activities
Vaccination campaign for street dogs happening at Dharan on Monday.,Vaccination
Vaccination campaign for street dogs happening at Bhaktapur on Monday.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #2899,Vaccination
Cruel treatment of animals reported near Bhaktapur. Raise your voice!,Illegal Activities
Urgent help needed for injured stray puppy #1552,Help
"Animal abuse victim, please help, might need new home later",Help
Protect our strays: vaccination camp at Kathmandu this Tuesday.,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #5157,Adoption
"Free vaccination camp for stray animals, some need adoption too",Vaccination
Looking to adopt a cute Labrador? Meet Bella at Butwal.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #9317,Adoption
"Kitten was injured but now healthy, ready for adoption 🐱",Adoption
Urgent help needed for injured stray puppy #3268,Help
Looking to adopt a 2-month-old vaccinated kitten #7349,Adoption
Dog fighting and illegal adoption both spotted near town,Illegal Activities
Doggo looking for adoption after accident — needs medical help first 🐶💔,Help
Looking to adopt a 2-month-old vaccinated kitten #489,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #9003,Vaccination
Local butcher illegally killed a street dog. Action needed! #9290,Illegal Activities
Vaccination campaign for street dogs happening at Lalitpur on July 15th.,Vaccination
Protect our strays: vaccination camp at Kathmandu this this weekend.,Vaccination
Dog rescued from illegal breeder got vaccination this week,Vaccination
Urgent help needed for injured stray puppy #8424,Help
Looking to adopt a 2-month-old vaccinated kitten #5025,Adoption
Looking to adopt a 2-month-old vaccinated kitten #9997,Adoption
Looking to adopt a 2-month-old vaccinated kitten #7877,Adoption
Puppy crying in pain at Itahari. Please help!,Help
Looking to adopt a cute Persian? Meet Coco at Biratnagar.,Adoption
"Kitten was injured but now healthy, ready for adoption 🐱",Adoption
"Rescued stray vaccinated last week, adoption requests open",Adoption
Looking to adopt a 2-month-old vaccinated kitten #8813,Adoption
Local butcher illegally killed a street dog. Action needed in Lalitpur!,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #4841,Adoption
Free rabies vaccination drive for stray animals at Biratnagar on August 1st.,Vaccination
Local butcher illegally killed a street dog. Action needed in Bhaktapur!,Illegal Activities
Rescued puppy available for adoption after vaccination 💉,Vaccination
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Dog fighting and illegal adoption both spotted near town,Illegal Activities
Join us for a community pet vaccination event in Kathmandu.,Vaccination
"Animal abuse victim, please help, might need new home later",Help
Stray kitten offered for adoption without proper vaccination,Illegal Activities
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
"Kitten was injured but now healthy, ready for adoption 🐱",Adoption
Local butcher illegally killed a street dog. Action needed in Itahari!,Illegal Activities
Report: Suspected poisoning of stray animals in Kathmandu. Authorities notified.,Illegal Activities
Report: Suspected poisoning of stray animals in Biratnagar. Authorities notified.,Illegal Activities
Wounded animal lying on the road at Itahari. Volunteers needed urgently!,Help
Local butcher illegally killed a street dog. Action needed in Kathmandu!,Illegal Activities
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
Rescued puppy available for adoption after vaccination 💉,Vaccination
Wounded animal lying on the road at Biratnagar. Volunteers needed urgently!,Help
"Doggo injured and now vaccinated, waiting for new home 🐕",Vaccination
Local butcher illegally killed a street dog. Action needed! #7446,Illegal Activities
Protect our strays: vaccination camp at Itahari this August 1st.,Vaccination
Puppy crying in pain at Dharan. Please help!,Help
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
"Doggo injured and now vaccinated, waiting for new home 🐕",Vaccination
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
Urgent help needed for injured stray puppy #4628,Help
Local butcher illegally killed a street dog. Action needed! #334,Illegal Activities
Vaccination campaign for street dogs happening at Butwal on July 15th.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #155,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #6863,Vaccination
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Local butcher illegally killed a street dog. Action needed! #8042,Illegal Activities
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
"Dog rescued from abuse, available for adoption 🙏",Adoption
"Dog previously part of illegal fighting ring, now up for adoption",Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #679,Vaccination
Protect our strays: vaccination camp at Dharan this August 1st.,Vaccination
Local butcher illegally killed a street dog. Action needed! #9182,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #7917,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #379,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #1805,Adoption
"Rescued kitten vaccinated last week, but requires surgery ASAP",Help
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #6259,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #1901,Adoption
Vaccination campaign for street dogs happening at Dharan on this weekend.,Vaccination
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
Local butcher illegally killed a street dog. Action needed! #9814,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #8851,Vaccination
Join us for a community pet vaccination event in Biratnagar.,Vaccination
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Stray kitten offered for adoption without proper vaccination,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #6927,Vaccination
Join us for a community pet vaccination event in Bhaktapur.,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #1741,Adoption
Adopt Bella and give them the loving family they deserve.,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #5619,Vaccination
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
"Rescued kitten vaccinated last week, but requires surgery ASAP",Help
Free rabies vaccination for street dogs in Pokhara this weekend #795,Vaccination
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
Local butcher illegally killed a street dog. Action needed! #6206,Illegal Activities
"Dog rescued from abuse, available for adoption 🙏",Adoption
Urgent help needed for injured stray puppy #336,Help
Urgent help needed for injured stray puppy #5136,Help
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Puppy crying in pain at Dharan. Please help!,Help
"Rescued dog was previously abused, report illegal breeder 🚨",Illegal Activities
Rescued puppy available for adoption after vaccination 💉,Vaccination
Dog fighting and illegal adoption both spotted near town,Illegal Activities
"Dog previously part of illegal fighting ring, now up for adoption",Adoption
Urgent help needed for injured stray puppy #3700,Help
Vaccinated puppy looking for adoption — needs caring home 🏠,Adoption
Local butcher illegally killed a street dog. Action needed! #2974,Illegal Activities
Urgent help needed for injured stray puppy #1596,Help
Wounded animal lying on the road at Pokhara. Volunteers needed urgently!,Help
Looking to adopt a 2-month-old vaccinated kitten #129,Adoption
Vaccination records faked during illegal puppy sales,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #8541,Adoption
Protect our strays: vaccination camp at Pokhara this Monday.,Vaccination
Wounded animal lying on the road at Pokhara. Volunteers needed urgently!,Help
Urgent help needed for injured stray puppy #4932,Help
"Rescued stray vaccinated last week, adoption requests open",Adoption
"Dog previously part of illegal fighting ring, now up for adoption",Adoption
Looking to adopt a cute Pug? Meet Charlie at Dharan.,Adoption
Looking to adopt a cute Persian? Meet Max at Butwal.,Adoption
Adopt Luna and give them the loving family they deserve.,Adoption
Dog fighting and illegal adoption both spotted near town,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #7146,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #4253,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #9919,Vaccination
Puppy crying in pain at Bhaktapur. Please help!,Help
Cruel treatment of animals reported near Biratnagar. Raise your voice!,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #2203,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #9163,Vaccination
Urgent help needed for injured stray puppy #1920,Help
Free rabies vaccination for street dogs in Pokhara this weekend #9215,Vaccination
Cruel treatment of animals reported near Lalitpur. Raise your voice!,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #1295,Vaccination
Doggo looking for adoption after accident — needs medical help first 🐶💔,Help
"Meet Luna, a lovable Persian looking for a forever home in Pokhara.",Adoption
Local butcher illegally killed a street dog. Action needed! #8034,Illegal Activities
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #8518,Illegal Activities
Join us for a community pet vaccination event in Kathmandu.,Vaccination
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Looking to adopt a 2-month-old vaccinated kitten #945,Adoption
Urgent help needed for injured stray puppy #2824,Help
Dog fighting and illegal adoption both spotted near town,Illegal Activities
Dog rescued from illegal breeder got vaccination this week,Vaccination
Urgent help needed for injured stray puppy #32,Help
Urgent help needed for injured stray puppy #6628,Help
Abandoned kitten found in Itahari. Looking for a foster home.,Help
Rescued puppy available for adoption after vaccination 💉,Vaccination
Urgent help needed for injured stray puppy #6756,Help
"Animal abuse victim, please help, might need new home later",Help
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #1366,Illegal Activities
Urgent help needed for injured stray puppy #604,Help
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
Looking to adopt a 2-month-old vaccinated kitten #1429,Adoption
Local butcher illegally killed a street dog. Action needed! #2314,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #571,Vaccination
Local butcher illegally killed a street dog. Action needed! #1698,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #5231,Vaccination
"Rescued dog was previously abused, report illegal breeder 🚨",Illegal Activities
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
Wounded animal lying on the road at Butwal. Volunteers needed urgently!,Help
Abandoned kitten found in Butwal. Looking for a foster home.,Help
Looking to adopt a 2-month-old vaccinated kitten #5141,Adoption
Vaccination records faked during illegal puppy sales,Illegal Activities
Puppy crying in pain at Lalitpur. Please help!,Help
Urgent help needed for injured stray puppy #6348,Help
Urgent help needed for injured stray puppy #8216,Help
Local butcher illegally killed a street dog. Action needed! #2294,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #7489,Adoption
"Meet Coco, a lovable Labrador looking for a forever home in Pokhara.",Adoption
"Free vaccination camp for stray animals, some need adoption too",Vaccination
Urgent help needed for injured stray puppy #6672,Help
Free rabies vaccination for street dogs in Pokhara this weekend #5531,Vaccination
Vaccination records faked during illegal puppy sales,Illegal Activities
Injured stray dog spotted near Kathmandu. Immediate assistance needed!,Help
Local butcher illegally killed a street dog. Action needed! #8686,Illegal Activities
Illegal dog fighting ring uncovered in Lalitpur. Investigation ongoing.,Illegal Activities
Urgent help needed for injured stray puppy #8076,Help
"Kitten was injured but now healthy, ready for adoption 🐱",Adoption
Puppy crying in pain at Lalitpur. Please help!,Help
"Rescued kitten vaccinated last week, but requires surgery ASAP",Help
Free rabies vaccination for street dogs in Pokhara this weekend #327,Vaccination
Join us for a community pet vaccination event in Itahari.,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #6945,Adoption
Looking to adopt a 2-month-old vaccinated kitten #8665,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #8275,Vaccination
Local butcher illegally killed a street dog. Action needed in Lalitpur!,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #1886,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #6065,Adoption
Vaccinated puppy looking for adoption — needs caring home 🏠,Adoption
"Rescued kitten vaccinated last week, but requires surgery ASAP",Help
Stray kitten offered for adoption without proper vaccination,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #2511,Vaccination
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Stray kitten offered for adoption without proper vaccination,Illegal Activities
"Animal abuse victim, please help, might need new home later",Help
Looking to adopt a 2-month-old vaccinated kitten #6569,Adoption
"Kitten was injured but now healthy, ready for adoption 🐱",Adoption
Looking to adopt a 2-month-old vaccinated kitten #857,Adoption
Doggo looking for adoption after accident — needs medical help first 🐶💔,Help
"Kitten was injured but now healthy, ready for adoption 🐱",Adoption
Puppy crying in pain at Dharan. Please help!,Help
Local butcher illegally killed a street dog. Action needed! #7198,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #7791,Vaccination
Urgent help needed for injured stray puppy #6236,Help
"Rescued dog was previously abused, report illegal breeder 🚨",Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #8405,Adoption
"Animal abuse victim, please help, might need new home later",Help
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
Doggo looking for adoption after accident — needs medical help first 🐶💔,Help
Join us for a community pet vaccination event in Biratnagar.,Vaccination
Dog fighting and illegal adoption both spotted near town,Illegal Activities
Adopt Bella and give them the loving family they deserve.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #5021,Adoption
Join us for a community pet vaccination event in Dharan.,Vaccination
Urgent help needed for injured stray puppy #9232,Help
Free rabies vaccination drive for stray animals at Butwal on August 1st.,Vaccination
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #7566,Illegal Activities
Urgent help needed for injured stray puppy #8508,Help
Cruel treatment of animals reported near Itahari. Raise your voice!,Illegal Activities
Friendly Labrador named Simba available for adoption in Bhaktapur.,Adoption
Local butcher illegally killed a street dog. Action needed! #9046,Illegal Activities
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
Report: Suspected poisoning of stray animals in Lalitpur. Authorities notified.,Illegal Activities
"Free vaccination camp for stray animals, some need adoption too",Vaccination
Join us for a community pet vaccination event in Lalitpur.,Vaccination
Urgent help needed for injured stray puppy #3176,Help
Local butcher illegally killed a street dog. Action needed! #3470,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #2635,Vaccination
"Free vaccination camp for stray animals, some need adoption too",Vaccination
Local butcher illegally killed a street dog. Action needed! #2846,Illegal Activities
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
"Dog rescued from abuse, available for adoption 🙏",Adoption
Dog rescued from illegal breeder got vaccination this week,Vaccination
Urgent help needed for injured stray puppy #9076,Help
Local butcher illegally killed a street dog. Action needed! #2762,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #523,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #4669,Adoption
"Rescued stray vaccinated last week, adoption requests open",Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #5295,Vaccination
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #1090,Illegal Activities
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #9154,Illegal Activities
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
Free rabies vaccination for street dogs in Pokhara this weekend #3219,Vaccination
Looking to adopt a cute Labrador? Meet Coco at Biratnagar.,Adoption
Report: Suspected poisoning of stray animals in Lalitpur. Authorities notified.,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #7991,Vaccination
Wounded animal lying on the road at Dharan. Volunteers needed urgently!,Help
Rescued puppy available for adoption after vaccination 💉,Vaccination
Urgent help needed for injured stray puppy #9396,Help
Protect our strays: vaccination camp at Lalitpur this Monday.,Vaccination
Urgent help needed for injured stray puppy #5224,Help
Vaccination campaign for street dogs happening at Itahari on Monday.,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #2877,Adoption
"Free vaccination camp for stray animals, some need adoption too",Vaccination
Doggo looking for adoption after accident — needs medical help first 🐶💔,Help
Abandoned kitten found in Bhaktapur. Looking for a foster home.,Help
"Meet Luna, a lovable Beagle looking for a forever home in Itahari.",Adoption
Vaccination campaign for street dogs happening at Butwal on Tuesday.,Vaccination
Adopt Simba and give them the loving family they deserve.,Adoption
Puppy crying in pain at Pokhara. Please help!,Help
Urgent help needed for injured stray puppy #2300,Help
Local butcher illegally killed a street dog. Action needed! #9214,Illegal Activities
"Rescued stray vaccinated last week, adoption requests open",Adoption
Doggo looking for adoption after accident — needs medical help first 🐶💔,Help
Stray kitten offered for adoption without proper vaccination,Illegal Activities
"Animal abuse victim, please help, might need new home later",Help
Urgent help needed for injured stray puppy #360,Help
Local butcher illegally killed a street dog. Action needed! #9750,Illegal Activities
"Free vaccination camp for stray animals, some need adoption too",Vaccination
"Rescued dog was previously abused, report illegal breeder 🚨",Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #8861,Adoption
Urgent help needed for injured stray puppy #7300,Help
Free rabies vaccination for street dogs in Pokhara this weekend #4167,Vaccination
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
"Animal abuse victim, please help, might need new home later",Help
Urgent help needed for injured stray puppy #3476,Help
Local butcher illegally killed a street dog. Action needed in Lalitpur!,Illegal Activities
"Dog rescued from abuse, available for adoption 🙏",Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #6427,Vaccination
Urgent help needed for injured stray puppy #3856,Help
Urgent help needed for injured stray puppy #7792,Help
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
Local butcher illegally killed a street dog. Action needed! #5250,Illegal Activities
Dog fighting and illegal adoption both spotted near town,Illegal Activities
Urgent help needed for injured stray puppy #9148,Help
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
"Animal abuse victim, please help, might need new home later",Help
Looking to adopt a 2-month-old vaccinated kitten #9197,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #603,Vaccination
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
Rescued puppy available for adoption after vaccination 💉,Vaccination
Puppy crying in pain at Butwal. Please help!,Help
Illegal dog fighting ring uncovered in Dharan. Investigation ongoing.,Illegal Activities
"Dog rescued from abuse, available for adoption 🙏",Adoption
Puppy crying in pain at Pokhara. Please help!,Help
"Dog rescued from abuse, available for adoption 🙏",Adoption
Wounded animal lying on the road at Dharan. Volunteers needed urgently!,Help
Urgent help needed for injured stray puppy #3240,Help
Free rabies vaccination for street dogs in Pokhara this weekend #5359,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #5957,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #8219,Vaccination
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Free rabies vaccination for street dogs in Pokhara this weekend #7363,Vaccination
Friendly German Shepherd named Max available for adoption in Biratnagar.,Adoption
Local butcher illegally killed a street dog. Action needed! #1842,Illegal Activities
Vaccination records faked during illegal puppy sales,Illegal Activities
Rescued puppy available for adoption after vaccination 💉,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #5701,Adoption
Illegal dog fighting ring uncovered in Pokhara. Investigation ongoing.,Illegal Activities
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
Abandoned kitten found in Itahari. Looking for a foster home.,Help
Doggo looking for adoption after accident — needs medical help first 🐶💔,Help
Looking to adopt a 2-month-old vaccinated kitten #9293,Adoption
Dog rescued from illegal breeder got vaccination this week,Vaccination
Wounded animal lying on the road at Pokhara. Volunteers needed urgently!,Help
Cruel treatment of animals reported near Biratnagar. Raise your voice!,Illegal Activities
Adopt Coco and give them the loving family they deserve.,Adoption
Vaccination records faked during illegal puppy sales,Illegal Activities
"Rescued stray vaccinated last week, adoption requests open",Adoption
"Animal abuse victim, please help, might need new home later",Help
Abandoned kitten found in Kathmandu. Looking for a foster home.,Help
Dog fighting and illegal adoption both spotted near town,Illegal Activities
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
Illegal dog fighting ring uncovered in Itahari. Investigation ongoing.,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #259,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #5003,Vaccination
"Dog rescued from abuse, available for adoption 🙏",Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #1419,Vaccination
Urgent help needed for injured stray puppy #9688,Help
Urgent help needed for injured stray puppy #9020,Help
Free rabies vaccination for street dogs in Pokhara this weekend #2239,Vaccination
"Animal abuse victim, please help, might need new home later",Help
Looking to adopt a 2-month-old vaccinated kitten #6705,Adoption
Local butcher illegally killed a street dog. Action needed! #6558,Illegal Activities
Vaccination campaign for street dogs happening at Biratnagar on Tuesday.,Vaccination
"Rescued dog was previously abused, report illegal breeder 🚨",Illegal Activities
Stray kitten offered for adoption without proper vaccination,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #2822,Illegal Activities
Cruel treatment of animals reported near Lalitpur. Raise your voice!,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #9745,Adoption
Doggo looking for adoption after accident — needs medical help first 🐶💔,Help
Looking to adopt a cute Stray? Meet Simba at Biratnagar.,Adoption
Dog rescued from illegal breeder got vaccination this week,Vaccination
Local butcher illegally killed a street dog. Action needed! #1730,Illegal Activities
"Animal abuse victim, please help, might need new home later",Help
"Free vaccination camp for stray animals, some need adoption too",Vaccination
Local butcher illegally killed a street dog. Action needed! #9550,Illegal Activities
Dog rescued from illegal breeder got vaccination this week,Vaccination
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
Looking to adopt a 2-month-old vaccinated kitten #4497,Adoption
Looking to adopt a 2-month-old vaccinated kitten #5437,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #1883,Vaccination
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
"Dog rescued from abuse, available for adoption 🙏",Adoption
"Animal abuse victim, please help, might need new home later",Help
Report: Suspected poisoning of stray animals in Lalitpur. Authorities notified.,Illegal Activities
Local butcher illegally killed a street dog. Action needed in Lalitpur!,Illegal Activities
Vaccination records faked during illegal puppy sales,Illegal Activities
Local butcher illegally killed a street dog. Action needed in Pokhara!,Illegal Activities
"Meet Luna, a lovable Labrador looking for a forever home in Kathmandu.",Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #371,Vaccination
Urgent help needed for injured stray puppy #1364,Help
Report: Suspected poisoning of stray animals in Pokhara. Authorities notified.,Illegal Activities
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
Protect our strays: vaccination camp at Bhaktapur this this weekend.,Vaccination
Local butcher illegally killed a street dog. Action needed! #6494,Illegal Activities
Injured stray dog spotted near Lalitpur. Immediate assistance needed!,Help
Local butcher illegally killed a street dog. Action needed! #5186,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #946,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #1391,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #8433,Adoption
Looking to adopt a cute German Shepherd? Meet Simba at Kathmandu.,Adoption
Local butcher illegally killed a street dog. Action needed! #9650,Illegal Activities
Report: Suspected poisoning of stray animals in Pokhara. Authorities notified.,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #2521,Adoption
Vaccination records faked during illegal puppy sales,Illegal Activities
Vaccination campaign for street dogs happening at Dharan on August 1st.,Vaccination
Local butcher illegally killed a street dog. Action needed! #4610,Illegal Activities
Urgent help needed for injured stray puppy #8140,Help
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #6479,Vaccination
Looking to adopt a cute Labrador? Meet Bella at Biratnagar.,Adoption
"Meet Max, a lovable Stray looking for a forever home in Butwal.",Adoption
Urgent help needed for injured stray puppy #2672,Help
Looking to adopt a 2-month-old vaccinated kitten #649,Adoption
Illegal dog fighting ring uncovered in Pokhara. Investigation ongoing.,Illegal Activities
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
"Rescued stray vaccinated last week, adoption requests open",Adoption
Join us for a community pet vaccination event in Itahari.,Vaccination
Urgent help needed for injured stray puppy #8656,Help
"Meet Luna, a lovable German Shepherd looking for a forever home in Biratnagar.",Adoption
"Rescued dog was previously abused, report illegal breeder 🚨",Illegal Activities
Puppy crying in pain at Kathmandu. Please help!,Help
Join us for a community pet vaccination event in Lalitpur.,Vaccination
"Kitten was injured but now healthy, ready for adoption 🐱",Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #567,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #5389,Adoption
Local butcher illegally killed a street dog. Action needed! #4102,Illegal Activities
Report: Suspected poisoning of stray animals in Itahari. Authorities notified.,Illegal Activities
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
"Dog rescued from abuse, available for adoption 🙏",Adoption
Looking to adopt a 2-month-old vaccinated kitten #8821,Adoption
Local butcher illegally killed a street dog. Action needed in Lalitpur!,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #6714,Illegal Activities
Protect our strays: vaccination camp at Lalitpur this August 1st.,Vaccination
Join us for a community pet vaccination event in Dharan.,Vaccination
Local butcher illegally killed a street dog. Action needed! #170,Illegal Activities
Report: Suspected poisoning of stray animals in Biratnagar. Authorities notified.,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #6997,Adoption
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
Dog rescued from illegal breeder got vaccination this week,Vaccination
Cruel treatment of animals reported near Lalitpur. Raise your voice!,Illegal Activities
Local butcher illegally killed a street dog. Action needed in Itahari!,Illegal Activities
Injured stray dog spotted near Kathmandu. Immediate assistance needed!,Help
Urgent help needed for injured stray puppy #5976,Help
Free rabies vaccination drive for stray animals at Pokhara on July 15th.,Vaccination
Report: Suspected poisoning of stray animals in Dharan. Authorities notified.,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #302,Illegal Activities
"Free vaccination camp for stray animals, some need adoption too",Vaccination
"Rescued kitten vaccinated last week, but requires surgery ASAP",Help
"Dog previously part of illegal fighting ring, now up for adoption",Adoption
"Animal abuse victim, please help, might need new home later",Help
Looking to adopt a cute Persian? Meet Coco at Bhaktapur.,Adoption
"Animal abuse victim, please help, might need new home later",Help
"Animal abuse victim, please help, might need new home later",Help
Looking to adopt a 2-month-old vaccinated kitten #2529,Adoption
Free rabies vaccination drive for stray animals at Pokhara on July 15th.,Vaccination
Report: Suspected poisoning of stray animals in Pokhara. Authorities notified.,Illegal Activities
Urgent help needed for injured stray puppy #9908,Help
Local butcher illegally killed a street dog. Action needed! #7662,Illegal Activities
Dog fighting and illegal adoption both spotted near town,Illegal Activities
"Free vaccination camp for stray animals, some need adoption too",Vaccination
"Doggo injured and now vaccinated, waiting for new home 🐕",Vaccination
Urgent help needed for injured stray puppy #3864,Help
Local butcher illegally killed a street dog. Action needed! #4590,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #1210,Illegal Activities
Cruel treatment of animals reported near Itahari. Raise your voice!,Illegal Activities
Dog fighting and illegal adoption both spotted near town,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #2934,Illegal Activities
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
Vaccination records faked during illegal puppy sales,Illegal Activities
Urgent help needed for injured stray puppy #184,Help
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
Abandoned kitten found in Bhaktapur. Looking for a foster home.,Help
Urgent help needed for injured stray puppy #6476,Help
Vaccination records faked during illegal puppy sales,Illegal Activities
Vaccination campaign for street dogs happening at Dharan on July 15th.,Vaccination
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
